,close,high,low,open,timestamp,volume
0,3433.4,3436.78,3432.39,3434.01,1544486400,19.362385999999997
1,3425.85,3435.26,3424.01,3433.62,1544486460,49.151693
2,3423.26,3431.02,3423.26,3428.0,1544486520,9.487126
3,3425.19,3427.95,3423.57,3424.52,1544486580,10.325669
4,3422.83,3426.81,3422.67,3425.2,1544486640,8.280380000000001
5,3420.66,3424.98,3420.0,3422.98,1544486700,23.359071
6,3422.34,3423.2,3419.47,3423.2,1544486760,10.720015
7,3422.73,3424.66,3418.84,3420.72,1544486820,33.902122999999996
8,3425.3,3429.05,3422.04,3422.71,1544486880,43.512169
9,3423.94,3426.06,3422.0,3425.3,1544486940,11.524962
10,3422.29,3423.67,3420.32,3423.67,1544487000,29.772569
11,3422.97,3423.03,3422.04,3422.04,1544487060,12.618433
12,3420.02,3422.77,3418.53,3422.48,1544487120,11.714080000000001
13,3420.27,3420.27,3418.89,3418.89,1544487180,4.653976999999999
14,3418.89,3421.02,3418.88,3420.18,1544487240,13.104127
15,3421.0,3423.46,3418.02,3419.0,1544487300,27.08291
16,3416.13,3422.8,3415.0,3421.0,1544487360,77.631132
17,3417.35,3418.98,3415.62,3417.82,1544487420,7.925638
18,3418.8,3418.8,3414.18,3417.09,1544487480,54.358732999999994
19,3417.98,3418.98,3415.88,3418.78,1544487540,8.872988000000001
20,3421.12,3421.12,3415.9,3417.98,1544487600,13.373745999999999
21,3419.56,3421.08,3419.4,3420.25,1544487660,2.719853
22,3428.74,3428.77,3419.56,3419.56,1544487720,24.219272
23,3426.17,3428.79,3424.56,3428.73,1544487780,14.260736999999999
24,3430.75,3430.75,3425.38,3426.42,1544487840,21.019378
25,3431.34,3433.8,3428.53,3431.4,1544487900,25.269405
26,3430.66,3433.84,3430.66,3432.97,1544487960,18.509509
27,3427.91,3430.68,3422.0,3430.68,1544488020,24.563038
28,3430.14,3430.82,3425.88,3425.88,1544488080,13.553760999999998
29,3432.58,3433.72,3428.0,3430.71,1544488140,25.060444
30,3427.45,3431.44,3424.47,3431.44,1544488200,20.523942
31,3425.89,3427.4,3424.6,3427.4,1544488260,13.626311999999999
32,3430.96,3431.21,3424.53,3425.87,1544488320,23.660784
33,3428.59,3430.52,3425.98,3426.75,1544488380,22.11242
34,3427.52,3430.53,3427.42,3428.84,1544488440,7.16033
35,3423.68,3427.65,3421.7,3427.5,1544488500,21.277203
36,3422.0,3423.42,3420.0,3422.13,1544488560,9.783919000000001
37,3420.71,3422.98,3418.69,3421.64,1544488620,11.220824
38,3419.28,3421.38,3417.05,3419.94,1544488680,28.27569
39,3425.53,3425.58,3418.94,3419.28,1544488740,12.017835
40,3423.16,3425.42,3420.85,3424.57,1544488800,12.724566000000001
41,3420.62,3424.92,3420.62,3424.88,1544488860,5.758818
42,3421.02,3422.48,3421.0,3421.21,1544488920,7.843952000000001
43,3418.0,3421.49,3415.62,3421.49,1544488980,15.140908
44,3419.97,3421.92,3416.63,3417.5,1544489040,41.540420000000005
45,3418.98,3419.98,3418.47,3419.58,1544489100,7.608892
46,3414.93,3418.99,3414.64,3418.98,1544489160,14.97475
47,3414.95,3416.94,3414.66,3415.01,1544489220,8.440522999999999
48,3410.53,3414.95,3410.53,3414.95,1544489280,22.000961
49,3411.89,3415.96,3409.0,3410.52,1544489340,47.742889
50,3410.0,3411.67,3406.06,3411.02,1544489400,41.066608
51,3412.73,3412.73,3408.92,3410.0,1544489460,30.146106
52,3411.95,3412.73,3410.74,3412.57,1544489520,5.56215
53,3408.35,3412.5,3407.08,3412.47,1544489580,15.832637
54,3407.74,3408.92,3406.06,3408.35,1544489640,14.003725
55,3406.74,3410.01,3405.16,3406.14,1544489700,24.683594
56,3410.0,3410.04,3405.26,3405.28,1544489760,11.498567
57,3416.23,3418.75,3408.83,3409.63,1544489820,35.499458000000004
58,3411.66,3416.14,3411.47,3415.21,1544489880,14.614304999999998
59,3419.12,3419.13,3411.49,3412.64,1544489940,24.896410999999997
60,3415.54,3419.49,3413.64,3419.13,1544490000,22.283185999999997
61,3404.0,3417.77,3403.5,3415.55,1544490060,42.190104999999996
62,3406.03,3409.07,3402.8,3406.38,1544490120,38.068866
63,3406.5,3408.97,3401.96,3406.05,1544490180,16.709635000000002
64,3406.35,3409.91,3405.22,3406.05,1544490240,25.554719
65,3405.58,3407.92,3404.02,3407.34,1544490300,9.082761
66,3405.84,3414.0,3405.62,3406.59,1544490360,11.986079
67,3404.0,3409.6,3403.22,3406.93,1544490420,37.672081
68,3400.02,3404.65,3391.47,3404.3,1544490480,64.000799
69,3396.92,3401.73,3391.0,3400.02,1544490540,49.074884999999995
70,3397.23,3399.07,3391.55,3396.17,1544490600,9.071931
71,3400.02,3402.31,3397.22,3397.23,1544490660,12.532160000000001
72,3398.44,3402.24,3392.0,3398.68,1544490720,18.475732999999998
73,3397.2,3400.37,3395.08,3395.4,1544490780,9.311152
74,3395.0,3398.09,3390.03,3398.09,1544490840,18.142385
75,3398.54,3398.56,3394.98,3394.98,1544490900,16.273385
76,3398.01,3399.93,3397.58,3397.63,1544490960,6.200558
77,3397.61,3399.7,3392.21,3398.01,1544491020,24.428206
78,3398.65,3398.82,3397.1,3398.8,1544491080,7.186667999999999
79,3403.73,3408.43,3398.14,3398.29,1544491140,30.209433
80,3401.36,3405.5,3396.11,3402.68,1544491200,31.681465999999997
81,3398.75,3404.66,3398.68,3401.34,1544491260,9.437149
82,3401.89,3402.72,3395.76,3399.37,1544491320,16.840007999999997
83,3401.66,3405.85,3399.03,3401.87,1544491380,44.830384
84,3401.68,3408.71,3401.08,3401.51,1544491440,48.957148
85,3402.93,3403.23,3400.48,3402.65,1544491500,9.922331
86,3401.95,3404.64,3400.8,3400.8,1544491560,7.39577
87,3401.52,3401.97,3400.52,3401.94,1544491620,7.521003
88,3397.9,3401.85,3396.28,3401.52,1544491680,62.890563
89,3400.7,3404.31,3397.9,3397.9,1544491740,28.072004999999997
90,3409.61,3410.84,3400.76,3402.0,1544491800,36.352354999999996
91,3408.01,3413.45,3404.34,3408.35,1544491860,30.384739
92,3405.7,3406.63,3403.48,3406.61,1544491920,21.264336
93,3405.2,3407.39,3405.0,3406.75,1544491980,7.619688000000001
94,3403.08,3405.2,3400.7,3405.19,1544492040,10.427339
95,3404.59,3404.9,3403.08,3404.89,1544492100,8.195788
96,3402.04,3404.89,3400.0,3404.57,1544492160,32.812528
97,3404.08,3404.76,3400.61,3401.28,1544492220,11.383239
98,3406.51,3406.53,3402.08,3403.78,1544492280,21.527348999999997
99,3407.0,3407.22,3405.19,3406.49,1544492340,31.702926
100,3405.87,3407.43,3401.98,3407.0,1544492400,96.462389
101,3406.23,3407.0,3403.0,3405.0,1544492460,11.165989999999999
102,3409.0,3414.0,3406.04,3406.35,1544492520,18.067579000000002
103,3409.0,3409.66,3409.0,3409.0,1544492580,11.14056
104,3408.09,3409.04,3408.08,3409.0,1544492640,11.922748
105,3406.08,3408.68,3405.23,3408.09,1544492700,34.33093
106,3405.1,3407.64,3403.42,3406.08,1544492760,14.115815
107,3401.0,3403.38,3399.36,3402.07,1544492820,31.06389
108,3405.57,3407.24,3399.0,3401.0,1544492880,34.213657
109,3407.34,3408.35,3405.59,3405.59,1544492940,5.099038
110,3406.31,3408.49,3406.31,3407.91,1544493000,6.192697
111,3405.98,3408.38,3405.27,3405.98,1544493060,5.476572
112,3408.05,3410.0,3406.04,3406.04,1544493120,12.467552
113,3406.55,3408.77,3406.16,3408.71,1544493180,13.145098999999998
114,3405.85,3408.42,3405.4,3407.44,1544493240,9.439278999999999
115,3407.94,3408.77,3404.79,3405.44,1544493300,23.51181
116,3409.0,3409.87,3407.2,3407.94,1544493360,7.072422
117,3409.59,3410.25,3407.24,3408.24,1544493420,8.038008
118,3404.11,3409.57,3404.11,3409.57,1544493480,7.685328999999999
119,3404.92,3406.06,3401.14,3405.75,1544493540,6.3650839999999995
120,3403.78,3404.92,3402.13,3404.92,1544493600,6.469195
121,3403.33,3405.0,3402.93,3402.93,1544493660,13.523814999999999
122,3399.99,3403.59,3399.99,3403.02,1544493720,33.239309000000006
123,3399.98,3400.95,3399.08,3400.95,1544493780,14.227407999999999
124,3396.46,3399.98,3395.0,3399.97,1544493840,23.297544
125,3398.02,3399.35,3395.5,3396.46,1544493900,11.462786999999999
126,3398.13,3400.91,3396.34,3399.32,1544493960,16.340087
127,3401.18,3405.15,3398.13,3398.13,1544494020,19.385392
128,3401.16,3402.53,3401.16,3402.48,1544494080,4.671537
129,3403.36,3409.93,3401.2,3402.43,1544494140,31.995513
130,3401.49,3408.26,3401.04,3406.52,1544494200,6.831691999999999
131,3404.23,3404.23,3400.0,3401.49,1544494260,6.975313000000001
132,3405.94,3405.97,3402.48,3404.81,1544494320,6.966438
133,3406.26,3406.5,3403.88,3405.96,1544494380,5.848317
134,3402.61,3405.78,3401.9,3404.69,1544494440,6.504459
135,3402.51,3403.09,3401.22,3403.09,1544494500,5.883127
136,3402.47,3402.52,3401.2,3402.52,1544494560,4.458791000000001
137,3399.3,3402.47,3398.66,3401.26,1544494620,10.63589
138,3398.6,3400.27,3397.8,3400.27,1544494680,9.710207
139,3398.05,3399.46,3397.81,3398.31,1544494740,16.129564000000002
140,3399.32,3399.44,3396.97,3397.85,1544494800,51.39642
141,3403.19,3403.19,3397.35,3398.44,1544494860,14.676959
142,3403.66,3404.52,3400.96,3403.18,1544494920,11.967545
143,3400.0,3404.43,3400.0,3402.81,1544494980,22.141839
144,3403.07,3404.14,3402.45,3403.52,1544495040,7.300186
145,3401.4,3403.95,3401.4,3403.39,1544495100,7.505592999999999
146,3402.68,3403.48,3401.03,3403.45,1544495160,7.053552000000001
147,3402.72,3403.26,3400.42,3401.33,1544495220,7.294575
148,3400.76,3403.29,3400.37,3402.52,1544495280,10.210884
149,3402.73,3402.73,3400.6,3400.79,1544495340,7.224315
150,3402.0,3402.73,3401.0,3401.83,1544495400,4.952655
151,3402.64,3402.88,3401.37,3401.37,1544495460,7.0903339999999995
152,3400.29,3403.0,3400.1,3402.63,1544495520,16.486805
153,3400.65,3401.66,3400.2,3400.27,1544495580,6.125693
154,3401.0,3402.05,3400.1,3401.52,1544495640,7.250172999999999
155,3401.81,3402.97,3400.0,3400.12,1544495700,12.72775
156,3404.18,3404.61,3401.81,3402.41,1544495760,3.6002379999999996
157,3410.62,3412.87,3404.61,3404.61,1544495820,57.593528000000006
158,3408.0,3412.86,3406.53,3410.92,1544495880,18.999939
159,3408.18,3409.32,3407.24,3407.99,1544495940,10.626415
160,3410.74,3412.0,3407.47,3408.99,1544496000,14.949129000000001
161,3413.62,3414.94,3410.07,3410.07,1544496060,11.690521
162,3416.3,3417.99,3413.14,3414.67,1544496120,56.682148
163,3416.52,3416.6,3413.42,3415.77,1544496180,10.904117
164,3417.15,3417.15,3414.44,3416.52,1544496240,5.715491
165,3415.06,3416.93,3415.0,3415.0,1544496300,5.679051
166,3415.63,3416.98,3412.68,3415.09,1544496360,9.729492
167,3412.48,3416.17,3411.52,3416.17,1544496420,14.174244
168,3408.92,3412.92,3408.92,3412.92,1544496480,10.321181
169,3410.5,3411.52,3408.31,3408.9,1544496540,8.043547
170,3409.56,3411.54,3409.11,3409.14,1544496600,8.196609
171,3412.02,3412.98,3409.6,3409.6,1544496660,14.48045
172,3412.98,3412.98,3412.0,3412.94,1544496720,5.926921
173,3414.38,3414.62,3412.97,3412.97,1544496780,8.637477
174,3413.65,3414.38,3412.99,3414.38,1544496840,3.85187
175,3413.48,3414.25,3412.02,3413.62,1544496900,6.429216
176,3409.3,3412.84,3409.18,3412.04,1544496960,9.024656
177,3410.85,3413.91,3409.3,3409.85,1544497020,7.494053999999999
178,3411.24,3412.86,3409.65,3410.43,1544497080,8.064206
179,3411.39,3412.0,3410.76,3410.76,1544497140,3.218771
180,3409.34,3412.14,3409.34,3410.95,1544497200,10.456091
181,3408.07,3410.65,3405.8,3409.34,1544497260,9.439282
182,3406.89,3407.71,3406.03,3406.03,1544497320,11.868115
183,3406.94,3408.98,3402.56,3406.49,1544497380,57.543779
184,3408.98,3408.98,3405.03,3405.03,1544497440,8.94663
185,3409.91,3409.98,3408.0,3409.0,1544497500,6.373055
186,3405.41,3409.79,3405.14,3408.56,1544497560,26.347096
187,3407.86,3408.54,3405.15,3405.53,1544497620,34.342772
188,3407.36,3408.24,3405.83,3407.76,1544497680,5.15065
189,3407.97,3408.14,3406.41,3408.12,1544497740,4.832978
190,3406.15,3407.88,3406.03,3407.85,1544497800,6.097708
191,3407.12,3407.98,3406.04,3407.24,1544497860,7.863587
192,3408.56,3409.82,3406.04,3406.41,1544497920,12.894389
193,3407.46,3409.82,3405.24,3409.61,1544497980,9.912055
194,3407.49,3409.5,3407.49,3408.44,1544498040,6.3799150000000004
195,3409.35,3409.46,3407.49,3407.49,1544498100,7.830044
196,3409.53,3409.82,3408.0,3409.35,1544498160,10.067797
197,3409.17,3409.82,3408.08,3409.69,1544498220,10.214227000000001
198,3408.93,3409.79,3408.12,3409.17,1544498280,20.380445
199,3403.16,3409.69,3402.17,3408.23,1544498340,15.795022
200,3405.57,3406.7,3402.56,3402.56,1544498400,8.78807
201,3403.11,3407.47,3403.0,3405.57,1544498460,9.639219
202,3404.81,3405.29,3403.27,3403.27,1544498520,6.890542999999999
203,3404.8,3404.86,3404.71,3404.85,1544498580,7.119805
204,3406.38,3406.48,3404.78,3404.78,1544498640,12.341115
205,3404.35,3406.38,3403.17,3404.89,1544498700,6.865608
206,3402.7,3405.77,3396.23,3404.33,1544498760,19.530316
207,3404.26,3404.93,3402.14,3402.75,1544498820,8.312636999999999
208,3405.97,3405.97,3403.57,3404.49,1544498880,5.916714
209,3407.74,3409.82,3405.97,3405.98,1544498940,28.096478
210,3409.21,3409.82,3407.16,3409.04,1544499000,7.447389
211,3409.06,3412.8,3406.42,3407.2,1544499060,15.490154
212,3410.28,3411.78,3409.0,3409.06,1544499120,7.726851
213,3411.51,3412.8,3410.31,3410.31,1544499180,6.939360000000001
